Query ID	Protein Domains
BCR	Bcr-Abl_oncoprotein_oligomerisation, C2_calcium-dependent_membrane_targeting, C2_calcium/lipid-binding_domain_CaLB, C2_membrane_targeting_protein, Dbl_homology_(DH)_domain, Guanine-nucleotide_dissociation_stimulator_CDC24_conserved_site, Pleckstrin_homology-type, Pleckstrin_homology_domain, Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein
BIRC3	Baculoviral_inhibition_of_apoptosis_protein_repeat, Caspase_Recruitment, DEATH-like, Zinc_finger_RING-type, Zinc_finger_RING/FYVE/PHD-type
BRD3	Bromodomain, Bromodomain_conserved_site
BRWD3	Bromodomain, Quinoprotein_amine_dehydrogenase_beta_chain-like, WD40-repeat-containing_domain, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat_2, WD40_repeat_conserved_site, WD40_repeat_subgroup
C11orf95	Zinc_finger_C2H2-like
CACNA2D4	Cache, von_Willebrand_factor_type_A, VWA_N-terminal
CANT1	Apyrase
CAPRIN1	Cytoplasmic_activation/proliferation-associated_protein-1_C_term
CARS	Aminoacyl-tRNA_synthetase_class_1a_anticodon-binding, Cysteinyl-tRNA_synthetase_class_Ia, Rossmann-like_alpha/beta/alpha_sandwich_fold
CBFB	Core_binding_factor_beta_subunit
CCDC6	Protein_of_unknown_function_DUF2046
CCDC88C	HOOK
CCND1	Cyclin, Cyclin-like, Cyclin-related, Cyclin_A/B/D/E, Cyclin_C-terminal, Cyclin_N-terminal
CD44	C-type_lectin-like, C-type_lectin_fold, CD44_antigen, Link
CD74	MHC_class_II-associated_invariant_chain, MHC_class_II-associated_invariant_chain/CLIP_MHC_II-interacting, MHC_class_II-associated_invariant_chain_trimerisation, Thyroglobulin_type-1
CDH11	Cadherin, Cadherin-like, Cadherin_conserved_site, Cadherin_cytoplasmic_domain
CDK5RAP2	Spindle_associated
CDK6	Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine/threonine-protein_kinase-like_domain, Serine/threonine-protein_kinase_active_site, Serine/threonine-protein_kinase_domain
CHCHD7	MTCP1
CHIC2	Golgin_subfamily_A_member_7/ERF4
CIC	High_mobility_group_HMG1/HMG2, High_mobility_group_superfamily
CLTC	Armadillo-type_fold, Clathrin_heavy_chain, Clathrin_heavy_chain/VPS_7-fold_repeat, Clathrin_heavy_chain_linker/propeller_domain, Clathrin_heavy_chain_linker_core_motif, Clathrin_heavy_chain_propeller_N-terminal, Clathrin_heavy_chain_propeller_repeat, Tetratricopeptide-like_helical
CNBP	Zinc_finger_CCHC-type, Zinc_finger_CCHC_retroviral-type
CNTRL	Leucine-rich_repeat
COL1A1	Collagen_triple_helix_repeat, Fibrillar_collagen_C-terminal, von_Willebrand_factor_type_C
COL1A2	Collagen_triple_helix_repeat, Fibrillar_collagen_C-terminal
COL6A3	Collagen_triple_helix_repeat, Fibronectin_type_III, Fibronectin_type_III_domain, Immunoglobulin-like_fold, Proteinase_inhibitor_I2_Kunitz_conserved_site, Proteinase_inhibitor_I2_Kunitz_metazoa, von_Willebrand_factor_type_A
CREB3L2	Basic-leucine_zipper_(bZIP)_transcription_factor, bZIP_transcription_factor_bZIP-1, Eukaryotic_transcription_factor_Skn-1-like_DNA-binding
DGKB	Calcium-binding_EF-hand, Diacylglycerol_kinase_accessory_domain, Diacylglycerol_kinase_catalytic_domain, EF-hand-like_domain, EF-Hand_1_calcium-binding_site, EF-HAND_2, Protein_kinase_C-like_phorbol_ester/diacylglycerol_binding
EML1	HELP, Quinonprotein_alcohol_dehydrogenase-like, WD40-repeat-containing_domain, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat_2, WD40_repeat_subgroup
EML4	HELP, Quinonprotein_alcohol_dehydrogenase-like, WD40-repeat-containing_domain, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat-like-containing_domain, WD40_repeat_2, WD40_repeat_conserved_site, WD40_repeat_subgroup
EPC1	Enhancer_of_polycomb-like_N-terminal, Enhancer_of_polycomb_C-terminal
ERC1	CAZ_complex_RIM-binding_protein, Rab11-binding_domain__FIP_domain_C-terminal
ESRP1	Nucleotide-binding_alpha-beta_plait, Ribonuclease_H-like, RNA_recognition_motif_domain
ETV6	Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding
EWSR1	Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type
EXOC2	Cell_surface_receptor_IPT/TIG, Immunoglobulin-like_fold, Immunoglobulin_E-set
FCHSD1	Fps/Fes/Fer/CIP4_homology, Src_homology-3_domain, Variant_SH3
FGFR1OP	FGFR1_oncogene_partner_(FOP)_N-terminal_dimerisation_domain, LisH_dimerisation_motif
FGFR1OP2	Protein_of_unknown_function_DUF837
FIP1L1	Pre-mRNA_polyadenylation_factor_Fip1
FOXO1	Transcription_factor_fork_head, Transcription_factor_fork_head_conserved_site, Winged_helix-turn-helix_transcription_repressor_DNA-binding
FOXP1	Transcription_factor_fork_head, Transcription_factor_fork_head_conserved_site, Winged_helix-turn-helix_transcription_repressor_DNA-binding, Zinc_finger_C2H2-like
FUS	Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type
FZD6	Frizzled-related, Frizzled_domain, Frizzled_protein, GPCR_family_2-like
GAPDH	Glyceraldehyde-3-phosphate_dehydrogenase_type_I, Glyceraldehyde/Erythrose_phosphate_dehydrogenase_family, Glyceraldehyde_3-phosphate_dehydrogenase_active_site, Glyceraldehyde_3-phosphate_dehydrogenase_catalytic_domain, Glyceraldehyde_3-phosphate_dehydrogenase_NAD(P)_binding_domain, NAD(P)-binding_domain
GIT2	Ankyrin_repeat, Ankyrin_repeat-containing_domain, Arf_GTPase_activating_protein, G_protein-coupled_receptor_kinase-interacting_protein_1_C_term, Spa2_homology_(SHD)_of_GIT
GOLGA4	GRIP
GOLGA5	Golgin_subfamily_A_member_5
GOPC	PDZ/DHR/GLGF
HAS2	Fungal_chitin_synthase, Glycosyl_transferase_family_2
HIP1	ANTH, Armadillo-type_fold, ENTH/VHS, Epsin-like_N-terminal, I/LWEQ
HMGA1	AT_hook-like, AT_hook_DNA-binding_motif, High_mobility_group_HMG-I/HMG-Y, HMG-I/HMG-Y_DNA-binding_conserved_site
HMGA2	AT_hook-like, AT_hook_DNA-binding_motif, High_mobility_group_HMG-I/HMG-Y, HMG-I/HMG-Y_DNA-binding_conserved_site
HNRNPA2B1	Nuclear_factor_hnRNPA1, Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain
HOOK3	HOOK
HPR	Complement_control_module, Haptoglobin, Peptidase_cysteine/serine_trypsin-like, Peptidase_S1/S6_chymotrypsin/Hap, Peptidase_S1A_chymotrypsin-type
HSP90AA1	ATPase-like_ATP-binding_domain, Heat_shock_protein_Hsp90, Heat_shock_protein_Hsp90_conserved_site, Heat_shock_protein_Hsp90_N-terminal, Ribosomal_protein_S5_domain_2-type_fold
HSP90AB1	ATPase-like_ATP-binding_domain, Heat_shock_protein_Hsp90, Heat_shock_protein_Hsp90_conserved_site, Heat_shock_protein_Hsp90_N-terminal, Ribosomal_protein_S5_domain_2-type_fold
IKZF1	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
IL2	Four-helical_cytokine-like_core, Four-helical_cytokine_core, Interleukin-2
IL21R	Fibronectin_type_III, Fibronectin_type_III_domain, Immunoglobulin-like_fold, Short_hematopoietin_receptor_family_1_conserved_site
INPP5D	Endonuclease/exonuclease/phosphatase, Inositol_polyphosphate-related_phosphatase, SH2_motif
ITK	Pleckstrin_homology-type, Pleckstrin_homology_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Src_homology-3_domain, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Zinc_finger_Btk_motif
JAZF1	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
KIF5B	Kinesin_motor_domain, Kinesin_motor_region_conserved_site
KLK2	Peptidase_cysteine/serine_trypsin-like, Peptidase_S1/S6_chymotrypsin/Hap, Peptidase_S1/S6_chymotrypsin/Hap_active_site, Peptidase_S1A_chymotrypsin-type
LCK	Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Src_homology-3_domain, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain
LCP1	Actinin-type_actin-binding_conserved_site, Calcium-binding_EF-hand, Calponin_homology_domain, EF-hand, EF-hand-like_domain, EF-Hand_1_calcium-binding_site, EF-HAND_2
LEO1	Leo1-like_protein
LIFR	Fibronectin_type_III, Fibronectin_type_III_domain, Immunoglobulin-like_fold, Long_hematopoietin_receptor_gp130_family_2_conserved_site
LRRFIP1	Leucine-rich_repeat_flightless-interacting_protein
LYL1	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain
MALT1	DEATH-like, Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Peptidase_C14_caspase_catalytic, Peptidase_C14_ICE_catalytic_subunit_p20
MEF2D	Holliday_junction_regulator_protein_family_C-terminal_repeat, Transcription_factor_MADS-box
MLL	AT_hook_DNA-binding_motif, Bromodomain, FY-rich_C-terminal, FY-rich_C-terminal_subgroup, FY-rich_N-terminal, FY-rich_N-terminal_subgroup, Methyltransferase_trithorax, Post-SET_domain, SET_domain, Zinc_finger_CXXC-type, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_RING/FYVE/PHD-type
MN1	Armadillo-like_helical
MNX1	Homeobox, Homeobox_conserved_site, Homeobox_eukaryotic, Homeodomain-like, Homeodomain-related
MSI2	Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain
MSN	Band_4.1_domain, Band_4.1_family, Ezrin/radixin/moesin, Ezrin/radixin/moesin_C-terminal, Ezrin/radixin/moesin_family, FERM/acyl-CoA-binding_protein_3-helical_bundle, FERM_C-terminal_PH-like_domain, FERM_central_domain, FERM_conserved_site, FERM_domain, FERM_N-terminal, Moesin, Pleckstrin_homology-type
MYB	C-myb_C-terminal, Homeodomain-like, Homeodomain-related, Myb_DNA-binding, Myb_transcription_factor, SANT_domain_DNA_binding, Transcription_regulator_HTH_Myb-type_DNA-binding, Transcription_regulator_Wos2-domain
MYC	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Leucine_zipper_Myc, Transcription_regulator_Myc, Transcription_regulator_Myc_N-terminal
MYH9	IQ_motif_EF-hand_binding_site, Myosin_head_motor_domain, Myosin_N-terminal_SH3-like, Myosin_tail, Regulator_of_G_protein_signalling_superfamily
MYO18A	DNA_recombination/repair_protein_RecA_monomer-monomer_interface, IQ_motif_EF-hand_binding_site, Myosin_head_motor_domain, Myosin_tail, PDZ/DHR/GLGF
MYST3	Acyl-CoA_N-acyltransferase, Histone_H1/H5, MOZ/SAS-like_protein, Winged_helix-turn-helix_transcription_repressor_DNA-binding, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_RING-type, Zinc_finger_RING/FYVE/PHD-type
MYST4	Acyl-CoA_N-acyltransferase, Histone_H1/H5, MOZ/SAS-like_protein, Winged_helix-turn-helix_transcription_repressor_DNA-binding, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_RING/FYVE/PHD-type
NAV2	ATPase_AAA+_type_core, Calponin_homology_domain
NCOA4	Nuclear_coactivator
NDE1	NUDE_protein_C-terminal
NDRG1	Ndr
NFKB2	Ankyrin_repeat, Ankyrin_repeat-containing_domain, Cell_surface_receptor_IPT/TIG, Death, DEATH-like, Immunoglobulin-like_fold, Immunoglobulin_E-set, NF-kappa-B/Rel/dorsal, p53-like_transcription_factor_DNA-binding, Rel_homology
NIN	EF-hand-like_domain, EF-HAND_2
NONO	NOPS, Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain
NOTCH1	Ankyrin_repeat, Ankyrin_repeat-containing_domain, EGF, EGF-like_calcium-binding, EGF-like_calcium-binding_conserved_site, EGF-like_region_conserved_site, EGF-type_aspartate/asparagine_hydroxylation_site, EGF_calcium-binding, EGF_extracellular, Epidermal_growth_factor-like, Epidermal_growth_factor-like_type_3, Neurogenic_locus_Notch_1, Notch, Notch_domain, Notch_NOD_domain, Notch_NODP_domain
NPM1	Nucleoplasmin
NSD1	AWS, Post-SET_domain, PWWP, SET_domain, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING-type, Zinc_finger_RING/FYVE/PHD-type
NUP214	WD40/YVTN_repeat-like-containing_domain, WD40_repeat
NUP98	Nuclear_protein_96, Peptidase_S59_nucleoporin
OMD	Leucine-rich_repeat, Leucine-rich_repeat-containing_N-terminal, Leucine-rich_repeat_typical_subtype
P2RY8	GPCR_rhodopsin-like_7TM, GPCR_rhodopsin-like_superfamily, P2_purinoceptor
PAX3	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Paired_box_protein_7, Paired_box_protein_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding
PAX5	Homeodomain-like, Paired-box_protein_2_C-terminal, Paired_box_protein_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding
PAX8	Homeodomain-like, Paired-box_protein_2_C-terminal, Paired_box_protein_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding
PDE4DIP	DUF1220, Spindle_associated
PEX5	Tetratricopeptide-like_helical, Tetratricopeptide_repeat, Tetratricopeptide_repeat-containing, Tetratricopeptide_TPR-1
PICALM	ANTH, Clathrin_adaptor_phosphoinositide-binding_GAT-like, ENTH/VHS, Epsin-like_N-terminal
PIM1	Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Proto-oncogene_serine/threonine-protein_kinase_Pim-1, Serine/threonine-protein_kinase-like_domain, Serine/threonine-protein_kinase_active_site, Serine/threonine-protein_kinase_domain
PML	Protein_of_unknown_function_DUF3583, Zinc_finger_B-box, Zinc_finger_RING-type, Zinc_finger_RING-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
POU2AF1	POU_class_2_associating_factor_1
PPP2R2A	Protein_phosphatase_2A_regulatory_subunit_PR55, Protein_phosphatase_2A_regulatory_subunit_PR55_conserved_site, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat-like-containing_domain, WD40_repeat_subgroup
PRKAR1A	cAMP-dependent_protein_kinase_regulatory_subunit, cAMP-dependent_protein_kinase_regulatory_subunit_type_I/II_alpha/beta, cAMP/cGMP-dependent_protein_kinase, Cyclic_nucleotide-binding-like, Cyclic_nucleotide-binding_conserved_site, Cyclic_nucleotide-binding_domain, RmlC-like_jelly_roll_fold
PRKG2	AGC-kinase_C-terminal, cGMP-dependent_kinase, cGMP-dependent_protein_kinase, Cyclic_nucleotide-binding-like, Cyclic_nucleotide-binding_conserved_site, Cyclic_nucleotide-binding_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, RmlC-like_jelly_roll_fold, Serine/threonine-protein_kinase-like_domain, Serine/threonine-protein_kinase_active_site, Serine/threonine-protein_kinase_domain
PVRL2	CD80-like_immunoglobulin_C2-set, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Immunoglobulin_V-set
RABEP1	Rabaptin, Rabaptin_coiled-coil_domain, Rabaptin_GTPase-Rab5_binding
RANBP17	Armadillo-like_helical, Armadillo-type_fold, Importin-beta_N-terminal
RANBP2	Cyclophilin-like, Nup358/RanBP2_E3_ligase_domain, Peptidyl-prolyl_cis-trans_isomerase_cyclophilin-type, Peptidyl-prolyl_cis-trans_isomerase_cyclophilin-type_conserved_site, Pleckstrin_homology-type, Ran_binding_protein_1, Tetratricopeptide-like_helical, Tetratricopeptide_repeat, Tetratricopeptide_repeat-containing, Tetratricopeptide_TPR-1, Zinc_finger_RanBP2-type
RBM15	Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Spen_paralogue/orthologue_C-terminal_metazoa, Spen_paralogue_and_orthologue_SPOC_C-terminal, Spen_Paralogue_and_Orthologue_SPOC_C-terminal-like
RBM6	D111/G-patch, Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_C2H2-like
RCSD1	RCSD
RNF213	ATPase_AAA+_type_core, Zinc_finger_C3HC4_RING-type, Zinc_finger_RING-type, Zinc_finger_RING/FYVE/PHD-type
RPN1	Ribophorin_I
RUNX1	Acute_myeloid_leukemia_1_(AML_1)/Runt, Acute_myeloid_leukemia_1_protein_(AML_1)/Runt, p53-like_transcription_factor_DNA-binding, p53/RUNT-type_transcription_factor_DNA-binding_domain, Runx_inhibition, Transcription_factor_Runt-related_RUNX
RYK	Protein_kinase-like_domain, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, WIF_domain
SEC31A	WD40-repeat-containing_domain, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat-like-containing_domain, WD40_repeat_2, WD40_repeat_subgroup
SENP6	Peptidase_C48_SUMO/Sentrin/Ubl1
SET	Nucleosome_assembly_protein_(NAP)
SFPQ	NOPS, Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain
SFRS3	Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain
SLC34A2	Na/Pi-cotransporter
SLC45A3	Major_facilitator_superfamily_general_substrate_transporter, Major_facilitator_superfamily_MFS-1
SNX2	Phox_homologous_domain, Sorting_nexin_N-terminal, Vps5_C-terminal
SPECC1	Calponin_homology_domain
SPTBN1	Actinin-type_actin-binding_conserved_site, Calponin_homology_domain, Pleckstrin_homology-type, Pleckstrin_homology_domain, Spectrin/alpha-actinin, Spectrin/pleckstrin-like, Spectrin_beta_subunit, Spectrin_repeat
SQSTM1	Phox/Bem1p, UBA-like, Ubiquitin-associated/translation_elongation_factor_EF1B_N-terminal_eukaryote, Zinc_finger_ZZ-type
SRGAP3	Fps/Fes/Fer/CIP4_homology, Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein, Src_homology-3_domain
SS18	SSXT
SS18L1	SSXT
SSBP2	LisH_dimerisation_motif, Sequence-specific_single-strand_DNA-binding_protein, Single-stranded_DNA-binding_protein_SSDP
STAT5B	EF-hand-like_domain, p53-like_transcription_factor_DNA-binding, SH2_motif, STAT_transcription_factor_all-alpha, STAT_transcription_factor_coiled_coil, STAT_transcription_factor_core, STAT_transcription_factor_DNA-binding, STAT_transcription_factor_DNA-binding_subdomain, STAT_transcription_factor_protein_interaction
STRN	G-protein_beta_WD-40_repeat, Striatin_N-terminal, WD40-repeat-containing_domain, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat-like-containing_domain, WD40_repeat_2, WD40_repeat_conserved_site, WD40_repeat_subgroup
TAF15	Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type
TAL1	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain
TCEA1	Transcription_elongation_factor_IIS, Transcription_elongation_factor_S-II_central_domain, Transcription_elongation_factor_S-IIM, Transcription_elongation_factor_TFIIS, Transcription_elongation_factor_TFIIS/CRSP70_N-terminal_sub-type, Transcription_factor_IIS_N-terminal, Zinc_finger_TFIIS-type
TCF12	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain
TCF3	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain
TCR	Immunoglobulin-like_fold, Immunoglobulin_V-set
TFG	Phox/Bem1p
TFRC	Peptidase_M28, Protease-associated_domain_PA, Transferrin_receptor-like_dimerisation_domain
TLX1	Homeobox, Homeobox_conserved_site, Homeobox_eukaryotic, Homeodomain-like, Homeodomain-related
TMPRSS2	Low-density_lipoprotein_(LDL)_receptor_class_A_conserved_site, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, Peptidase_cysteine/serine_trypsin-like, Peptidase_S1/S6_chymotrypsin/Hap, Peptidase_S1/S6_chymotrypsin/Hap_active_site, Peptidase_S1A_chymotrypsin-type, Speract/scavenger_receptor, Speract/scavenger_receptor-related
TP53BP1	BRCT, Translation_protein_SH3-like_subgroup, Tumour_suppressor_p53-binding_protein-1_Tudor
TPM3	Tropomyosin
TPM4	Tropomyosin
TPR	Prefoldin, Seryl-tRNA_synthetase_class_IIa_N-terminal, Tetratricopeptide_MLP1/MLP2-like
TPR	Prefoldin, Seryl-tRNA_synthetase_class_IIa_N-terminal, Tetratricopeptide_MLP1/MLP2-like
TRIM24	B-box_C-terminal, Bromodomain, Bromodomain_conserved_site, Zinc_finger_B-box, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING-type, Zinc_finger_RING-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
TRIM27	B302/SPRY_domain, Butyrophylin-like, Concanavalin_A-like_lectin/glucanase, SPla/RYanodine_receptor_SPRY, SPla/RYanodine_receptor_subgroup, SPRY-associated, Zinc_finger_B-box, Zinc_finger_B-box_chordata, Zinc_finger_C3HC4_RING-type, Zinc_finger_RING-type, Zinc_finger_RING-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
TRIM33	B-box_C-terminal, Bromodomain, Zinc_finger_B-box, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING-type, Zinc_finger_RING-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
TRIP11	GRIP
VTI1A	t-SNARE, Target_SNARE_coiled-coil_domain, Vesicle_transport_v-SNARE_N-terminal
WDR48	G-protein_beta_WD-40_repeat, Protein_of_unknown_function_DUF3337, WD40-repeat-containing_domain, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat-like-containing_domain, WD40_repeat_2, WD40_repeat_conserved_site, WD40_repeat_subgroup
WWTR1	WW/Rsp5/WWP
ZBTB16	BTB/POZ, BTB/POZ-like, BTB/POZ_fold, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
ZMIZ1	Zinc_finger_MIZ-type, Zinc_finger_RING/FYVE/PHD-type
ZMYM2	Protein_of_unknown_function_DUF3504, TRASH, Zinc_finger_MYM-type
YAP1	WW/Rsp5/WWP
GTF2I	GTF2I-like_repeat, Transcription_factor_II-I
SLC44A1	Choline_transporter-like
NAB2	NAB_co-repressor_domain, Nab_N-terminal
CUX1	CASP_C-terminal
FGFR3	Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_fibroblast_growth_factor_receptor
ETV1	Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding
GLI1	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
BRAF	Diacylglycerol/phorbol-ester_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_C-like_phorbol_ester/diacylglycerol_binding, Protein_kinase_catalytic_domain, Raf-like_Ras-binding, Serine-threonine/tyrosine-protein_kinase, Serine/threonine-protein_kinase_active_site
NCOA2	Domain_of_unknown_function_DUF1518, Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Nuclear_receptor_coactivator, Nuclear_receptor_coactivator_interlocking, Nuclear_receptor_coactivator_Ncoa-type_interlocking, Nuclear_receptor_coactivator_Src-1, PAC_motif, PAS, PAS_fold, Steroid_receptor_coactivator
PTPN3	Band_4.1_domain, Band_4.1_family, FERM/acyl-CoA-binding_protein_3-helical_bundle, FERM_C-terminal_PH-like_domain, FERM_central_domain, FERM_conserved_site, FERM_domain, FERM_N-terminal, PDZ/DHR/GLGF, Pleckstrin_homology-type, Protein-tyrosine/Dual-specificity_phosphatase, Protein-tyrosine_phosphatase_active_site, Protein-tyrosine_phosphatase_non-receptor_type-3_-4, Protein-tyrosine_phosphatase_receptor/non-receptor_type
PRCC	Mitotic_checkpoint_protein_PRCC_C-terminal
TFE3	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Protein_of_unknown_function_DUF3371
BCL2L1	Apoptosis_regulator_Bcl-2_BH, Apoptosis_regulator_Bcl-2_BH1_motif_conserved_site, Apoptosis_regulator_Bcl-2_BH2_motif_conserved_site, Apoptosis_regulator_Bcl-2_BH3_motif_conserved_site, Apoptosis_regulator_Bcl-2_BH4_motif_conserved_site, Apoptosis_regulator_Bcl-2_protein_BH4, Apoptosis_regulator_Bcl-X, Apoptosis_regulator_Bcl-X_protein, Apoptosis_regulator_Bcl2-like
